y,z,rho,triangles,initial.mesh,Y,Z,name,vertices,attributes
-65,42,73.285,11740,TRUE,-6710.581,4106.227,vert3,5858,5858
-94,116,532.3,14130,TRUE,-10359.666,9382.915,vert1,7285,7285
-94,116,532.3,14130,TRUE,-7000.333,11582.091,vert2,7314,7314
-94,116,532.3,14130,TRUE,-11319.399,14514.295,vert3,7332,7332
112,21,4.5235,5320,TRUE,11130.468,2122.878,vert1,2367,2367
112,21,4.5235,5320,TRUE,11285.875,2220.961,vert2,2368,2368
112,21,4.5235,5320,TRUE,11293.61,2036.547,vert3,2370,2370
138,10,2.5551,977,TRUE,13743.502,1060.941,vert1,497,497
138,10,2.5551,977,TRUE,13946.617,915.606,vert2,792,792
138,10,2.5551,977,TRUE,13932.194,1110.049,vert3,909,909
56,6,4.4067,96,TRUE,5600,570.353,vert1,61,61
56,6,4.4067,96,TRUE,5546.912,767.424,vert2,474,474
56,6,4.4067,96,TRUE,5748.149,690.571,vert3,475,475
-14,41,25.232,7665,TRUE,-1492.036,4278.05,vert1,3479,3479
-14,41,25.232,7665,TRUE,-1367.19,4057.202,vert2,3483,3483
-14,41,25.232,7665,TRUE,-1641.457,4047.87,vert3,3489,3489
39,13,1.0998000000000001,2714,TRUE,3880.956,1265.851,vert1,1215,1215
39,13,1.0998000000000001,2714,TRUE,4186.082,1382.557,vert2,1283,1283
39,13,1.0998000000000001,2714,TRUE,3871.753,1436.284,vert3,3364,3364
-21,51,55.631,9886,TRUE,-2136.719,5000,vert1,4855,4855
-21,51,55.631,9886,TRUE,-2017.579,5280.885,vert2,6934,6934
-21,51,55.631,9886,TRUE,-2494.14,5280.884,vert3,6997,6997
275,19,2.3786,7294,TRUE,27687.723,1886.907,vert1,3229,3229
275,19,2.3786,7294,TRUE,27547.457,2063.351,vert2,3231,3231
275,19,2.3786,7294,TRUE,27495.651,1878.192,vert3,3275,3275
288,30,0.61441,6736,TRUE,28958.453,3108.053,vert1,3006,3006
288,30,0.61441,6736,TRUE,28761.937,3210.057,vert2,3023,3023
288,30,0.61441,6736,TRUE,28841.076,2979.974,vert3,3863,3863
167,23,1.3868,2920,TRUE,16824.491,2306.269,vert1,1292,1292
167,23,1.3868,2920,TRUE,16619.962,2253.998,vert2,1461,1461
167,23,1.3868,2920,TRUE,16673.82,2469.543,vert3,1463,1463
445,25,8.4434,10392,TRUE,44532.231,2378.797,vert1,5214,5214
445,25,8.4434,10392,TRUE,44490.968,2662.507,vert2,5221,5221
445,25,8.4434,10392,TRUE,44647.628,2542.963,vert3,5247,5247
234,74,212.08,14010,TRUE,22202.447,8193.289,vert1,7196,7196
234,74,212.08,14010,TRUE,24572.436,7810.989,vert2,7273,7273
234,74,212.08,14010,TRUE,23407.858,6607.239,vert3,7297,7297
282,62,282.6,13908,TRUE,27286.241,6769.486,vert1,7134,7134
282,62,282.6,13908,TRUE,29154.343,6557.868,vert2,7194,7194
282,62,282.6,13908,TRUE,28244.14,5823.097,vert3,7288,7288
415,43,8.054,11460,TRUE,41647.392,4299.759,vert1,5719,5719
415,43,8.054,11460,TRUE,41511.11,4185.338,vert2,5725,5725
415,43,8.054,11460,TRUE,41577.17,4449.254,vert3,6171,6171
324,30,1.803,6350,TRUE,32509.491,2939.742,vert1,2840,2840
324,30,1.803,6350,TRUE,32257.196,3115.399,vert2,3890,3890
324,30,1.803,6350,TRUE,32538.156,3113.56,vert3,4665,4665
352,65,45.852,13468,TRUE,35615.091,6224.988,vert1,6890,6890
352,65,45.852,13468,TRUE,34423.686,6224.997,vert2,6965,6965
352,65,45.852,13468,TRUE,35632.564,7437.457,vert3,7316,7316
330,34,2.7084,6345,TRUE,32973.375,3317.463,vert1,2837,2837
330,34,2.7084,6345,TRUE,33191.569,3378.698,vert2,2892,2892
330,34,2.7084,6345,TRUE,33017.578,3579.312,vert3,2919,2919
442,34,9.7857,10491,TRUE,44223.212,3318.214,vert1,5246,5246
442,34,9.7857,10491,TRUE,44246.988,3515.362,vert2,5415,5415
442,34,9.7857,10491,TRUE,44430.356,3393.24,vert3,5419,5419
387,38,5.9404,5997,TRUE,38662.567,4010.512,vert1,2681,2681
387,38,5.9404,5997,TRUE,38819.064,3761.691,vert2,2689,2689
387,38,5.9404,5997,TRUE,38626.978,3718.731,vert3,2697,2697
199,18,1.3268,5376,TRUE,19889.841,1900.723,vert1,2398,2398
199,18,1.3268,5376,TRUE,19782.873,1773.035,vert2,2410,2410
199,18,1.3268,5376,TRUE,20056.173,1822.903,vert3,2420,2420
164,36,10.428,3464,TRUE,16553.981,3802.536,vert1,1585,1585
164,36,10.428,3464,TRUE,16553.215,3593.467,vert2,1586,1586
164,36,10.428,3464,TRUE,16292.936,3698.957,vert3,1588,1588
273,35,1.7065,7031,TRUE,27443,3536.074,vert1,3131,3131
273,35,1.7065,7031,TRUE,27320.45,3386.76,vert2,3303,3303
273,35,1.7065,7031,TRUE,27300.073,3628.705,vert3,4022,4022
271,11,2.0743,1092,TRUE,27145.938,1172.271,vert1,535,535
271,11,2.0743,1092,TRUE,27247.592,1094.355,vert2,641,641
271,11,2.0743,1092,TRUE,27047.639,1088.512,vert3,720,720
198,31,1.1928,5245,TRUE,19918.708,3134.513,vert1,2331,2331
198,31,1.1928,5245,TRUE,19737.7,3133.023,vert2,2359,2359
198,31,1.1928,5245,TRUE,19826.53,3337.129,vert3,2361,2361
142,11,1.9882,1917,TRUE,14336.088,1237.403,vert1,910,910
142,11,1.9882,1917,TRUE,14118.911,1222.027,vert2,995,995
142,11,1.9882,1917,TRUE,14342.181,1062.795,vert3,996,996
243,32,0.77941,8419,TRUE,24199.873,3138.283,vert1,3929,3929
243,32,0.77941,8419,TRUE,24299.284,3304.177,vert2,3943,3943
243,32,0.77941,8419,TRUE,24448.327,3160.917,vert3,3944,3944
-77,7,46.699,13216,TRUE,-7810.583,898.458,vert1,6636,6636
-77,7,46.699,13216,TRUE,-7625.719,830.901,vert2,6637,6637
-77,7,46.699,13216,TRUE,-7694.35,634.591,vert3,6645,6645
327,33,2.3912,6484,TRUE,32810.068,3246.107,vert1,2896,2896
327,33,2.3912,6484,TRUE,32875.879,3468.577,vert2,3853,3853
327,33,2.3912,6484,TRUE,32609.472,3460.643,vert3,3891,3891
290,20,1.9534,2256,TRUE,28912.723,2099.385,vert1,1068,1068
290,20,1.9534,2256,TRUE,28991.059,1901.401,vert2,1080,1080
290,20,1.9534,2256,TRUE,29094.661,2056.883,vert3,1085,1085
-53,7,22.643,12732,TRUE,-5166.901,910.279,vert1,6367,6367
-53,7,22.643,12732,TRUE,-5454.373,787.255,vert2,6547,6547
-53,7,22.643,12732,TRUE,-5270.692,660.047,vert3,6864,6864
-121,44,165.3,14081,TRUE,-11457.629,4272.398,vert1,7240,7240
-121,44,165.3,14081,TRUE,-12240.579,5605.991,vert2,7277,7277
-121,44,165.3,14081,TRUE,-12911.856,3578.089,vert3,7312,7312
-49,7,19.981,13440,TRUE,-4843.75,621.287,vert1,6859,6859
-49,7,19.981,13440,TRUE,-5072.114,691.1,vert2,6860,6860
-49,7,19.981,13440,TRUE,-5005.324,850.07,vert3,6861,6861
-74,12,45.993,12748,TRUE,-7345.956,1156.262,vert1,6373,6373
-74,12,45.993,12748,TRUE,-7491.713,1307.279,vert2,6374,6374
-74,12,45.993,12748,TRUE,-7634.701,1204,vert3,6377,6377
56,39,10.918,7559,TRUE,5545.272,3933.361,vert1,3414,3414
56,39,10.918,7559,TRUE,5726.844,3894.993,vert2,4095,4095
56,39,10.918,7559,TRUE,5639.314,4086.577,vert3,4829,4829
95,13,3.3986,2085,TRUE,9489.905,1184.583,vert1,1009,1009
95,13,3.3986,2085,TRUE,9624.037,1446.889,vert2,1139,1139
95,13,3.3986,2085,TRUE,9455.755,1466.256,vert3,1666,1666
92,11,0.99211,1973,TRUE,9082.844,1221.521,vert1,932,932
92,11,0.99211,1973,TRUE,9228.953,1024.289,vert2,1101,1101
92,11,0.99211,1973,TRUE,9269.934,1207.382,vert3,1345,1345
104,9,1.3822,1237,TRUE,10546.319,854.858,vert1,595,595
104,9,1.3822,1237,TRUE,10345.959,1002.277,vert2,757,757
104,9,1.3822,1237,TRUE,10489.102,1086.575,vert3,3377,3377
119,7,2.2345,194,TRUE,11900,681.04,vert1,124,124
119,7,2.2345,194,TRUE,12000,682.882,vert2,125,125
119,7,2.2345,194,TRUE,11947.864,797.94,vert3,700,700
119,7,2.2345,195,TRUE,11900,681.04,vert1,124,124
119,7,2.2345,195,TRUE,11846.647,873.517,vert2,493,493
119,7,2.2345,195,TRUE,11947.864,797.94,vert3,700,700
-32,5,9.0115,10283,TRUE,-3125,463.452,vert1,5133,5133
-32,5,9.0115,10283,TRUE,-3169.592,683.595,vert2,6209,6209
